TaxonUsageID;TaxonName;NameAuthor;SYNONYM;TaxonConceptID;TaxonConcept;VernacularName;TaxonRank;GRUPPE;IsChildTaxonOfID;IsChildTaxonOf;NACHWEIS;AccordingTo;HYBRID;BEGRUEND;EDITSTATUS;EuroMed
2653;"Gentianella campestris agg.";"";1;26595;"Gentianella campestris s. l.";;AGG;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2654;"Gentianella baltica";"(Murb.) Börner";1;26595;"Gentianella campestris s. l.";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";1c74bd99-13a1-4e27-8ff0-7ef8080c288e
2655;"Gentianella campestris s. str.";"(L.) Börner";1;26595;"Gentianella campestris s. l.";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2656;"Gentianella ciliata";"(L.) Borkh.";1;22040;"Gentianopsis ciliata";"Gewöhnlicher Fransenenzian";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";39247484-fe43-4579-b346-2e478ffe251f
2657;"Gentianella germanica agg.";"";0;2657;"Gentianella germanica agg.";"Artengruppe Deutscher Fransenenzian";AGG;S;60929;Gentianella;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2659;"Gentianella aspera";"(Hegetschw.) Skalický, Chrtek & J. Gill";0;2659;"Gentianella aspera";"Rauher Fransenenzian";SPE;S;2657;"Gentianella germanica agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";e7c5e630-a924-4cc4-9d6c-496489020e17
2660;"Gentianella austriaca";auct.;1;33676;"Gentianella praecox subsp. bohemica";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";da8687f2-5ac6-4eb9-8810-40bb95ce9b4f
2662;"Gentianella germanica";"(Willd.) Börner";0;2662;"Gentianella germanica";"Deutscher Fransenenzian";SPE;S;2657;"Gentianella germanica agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";ddedfb67-9680-4c35-a3ba-495fb3fa3752
2665;"Gentianella lutescens";"(Velen.) Holub";0;2665;"Gentianella lutescens";Karpaten-Fransenenzian;SPE;S;2657;"Gentianella germanica agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";04d1325a-ee8f-4383-9fb7-c8331530f53f
2669;"Gentianella tenella";"(Rottb.) Börner";1;21353;"Comastoma tenellum";"Zarter Fransenenzian";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";5d3109d4-6e33-443e-97c0-3d926f0ab3d3
2671;"Geranium bohemicum";L.;0;2671;"Geranium bohemicum";"Böhmischer Storchschnabel";SPE;S;60933;Geranium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c531a0b9-d16a-4c9c-aea9-9efda00fbe44
2672;"Geranium columbinum";L.;0;2672;"Geranium columbinum";Stein-Storchschnabel;SPE;S;60933;Geranium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";b5435c16-343b-47d2-a4b1-0b9a24a13fd1
